DATAFLOW,LAST UPDATE,freq,nace_r2,isco08,worktime,age,sex,indic_se,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Austria,2002,1766,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Austria,2006,1988,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Austria,2010,2248,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Austria,2014,2513,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Austria,2018,2791,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Belgium,2002,2135,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Belgium,2006,2465,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Belgium,2010,2894,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Belgium,2014,3319,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Belgium,2018,3576,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Bulgaria,2002,121,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Bulgaria,2006,164,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Bulgaria,2010,270,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Bulgaria,2014,337,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Bulgaria,2018,483,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Switzerland,2010,3986,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Switzerland,2014,5157,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Switzerland,2018,5601,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Cyprus,2002,928,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Cyprus,2006,1178,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Cyprus,2010,1294,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Cyprus,2014,1284,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Cyprus,2018,1332,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Czechia,2002,368,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Czechia,2006,568,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Czechia,2010,723,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Czechia,2014,742,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Czechia,2018,1021,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Germany (until 1990 former territory of the FRG),2002,2206,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Germany (until 1990 former territory of the FRG),2006,2357,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Germany (until 1990 former territory of the FRG),2010,2555,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Germany (until 1990 former territory of the FRG),2014,2928,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Germany (until 1990 former territory of the FRG),2018,3306,
ESTAT:EARN_SES_MONTHLY(1.0),04/03/22 11:00:00,Annual,Industry and construction,Total,Full-time,Total,Females,Mean earnings in euro,Denmark,2002,3103,
