DATAFLOW,LAST UPDATE,freq,unit,isced11,age,sex,levels,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:HLTH_SILC_02(1.0),16/05/22 23:00:00,A,PC,TOTAL,Y16-24,F,BAD,BE,2014,2.0,
ESTAT:HLTH_SILC_02(1.0),16/05/22 23:00:00,A,PC,TOTAL,Y16-24,F,FAIR,BE,2014,6.0,
ESTAT:HLTH_SILC_02(1.0),16/05/22 23:00:00,A,PC,TOTAL,Y16-24,F,GOOD,BE,2014,36.0,
ESTAT:HLTH_SILC_02(1.0),16/05/22 23:00:00,A,PC,TOTAL,Y16-24,F,VBAD,BE,2014,0.0,
ESTAT:HLTH_SILC_02(1.0),16/05/22 23:00:00,A,PC,TOTAL,Y16-24,F,VGOOD,BE,2014,56.0,
ESTAT:HLTH_SILC_02(1.0),16/05/22 23:00:00,A,PC,TOTAL,Y16-24,M,BAD,BE,2014,2,
ESTAT:HLTH_SILC_02(1.0),16/05/22 23:00:00,A,PC,TOTAL,Y16-24,M,FAIR,BE,2014,4,
ESTAT:HLTH_SILC_02(1.0),16/05/22 23:00:00,A,PC,TOTAL,Y16-24,M,GOOD,BE,2014,32,
ESTAT:HLTH_SILC_02(1.0),16/05/22 23:00:00,A,PC,TOTAL,Y16-24,M,VBAD,BE,2014,0,
ESTAT:HLTH_SILC_02(1.0),16/05/22 23:00:00,A,PC,TOTAL,Y16-24,M,VGOOD,BE,2014,62,
ESTAT:HLTH_SILC_02(1.0),16/05/22 23:00:00,A,PC,TOTAL,Y25-34,F,BAD,BE,2014,3,
ESTAT:HLTH_SILC_02(1.0),16/05/22 23:00:00,A,PC,TOTAL,Y25-34,F,FAIR,BE,2014,8,
ESTAT:HLTH_SILC_02(1.0),16/05/22 23:00:00,A,PC,TOTAL,Y25-34,F,GOOD,BE,2014,47,
ESTAT:HLTH_SILC_02(1.0),16/05/22 23:00:00,A,PC,TOTAL,Y25-34,F,VBAD,BE,2014,0,
ESTAT:HLTH_SILC_02(1.0),16/05/22 23:00:00,A,PC,TOTAL,Y25-34,F,VGOOD,BE,2014,42,
ESTAT:HLTH_SILC_02(1.0),16/05/22 23:00:00,A,PC,TOTAL,Y25-34,M,BAD,BE,2014,3,
ESTAT:HLTH_SILC_02(1.0),16/05/22 23:00:00,A,PC,TOTAL,Y25-34,M,FAIR,BE,2014,7,
ESTAT:HLTH_SILC_02(1.0),16/05/22 23:00:00,A,PC,TOTAL,Y25-34,M,GOOD,BE,2014,38,
ESTAT:HLTH_SILC_02(1.0),16/05/22 23:00:00,A,PC,TOTAL,Y25-34,M,VBAD,BE,2014,0,
ESTAT:HLTH_SILC_02(1.0),16/05/22 23:00:00,A,PC,TOTAL,Y25-34,M,VGOOD,BE,2014,52,
ESTAT:HLTH_SILC_02(1.0),16/05/22 23:00:00,A,PC,TOTAL,Y35-44,F,BAD,BE,2014,7,
ESTAT:HLTH_SILC_02(1.0),16/05/22 23:00:00,A,PC,TOTAL,Y35-44,F,FAIR,BE,2014,13,
ESTAT:HLTH_SILC_02(1.0),16/05/22 23:00:00,A,PC,TOTAL,Y35-44,F,GOOD,BE,2014,45,
ESTAT:HLTH_SILC_02(1.0),16/05/22 23:00:00,A,PC,TOTAL,Y35-44,F,VBAD,BE,2014,1,
ESTAT:HLTH_SILC_02(1.0),16/05/22 23:00:00,A,PC,TOTAL,Y35-44,F,VGOOD,BE,2014,34,
ESTAT:HLTH_SILC_02(1.0),16/05/22 23:00:00,A,PC,TOTAL,Y35-44,M,BAD,BE,2014,4,
ESTAT:HLTH_SILC_02(1.0),16/05/22 23:00:00,A,PC,TOTAL,Y35-44,M,FAIR,BE,2014,11,
ESTAT:HLTH_SILC_02(1.0),16/05/22 23:00:00,A,PC,TOTAL,Y35-44,M,GOOD,BE,2014,49,
ESTAT:HLTH_SILC_02(1.0),16/05/22 23:00:00,A,PC,TOTAL,Y35-44,M,VBAD,BE,2014,2,
ESTAT:HLTH_SILC_02(1.0),16/05/22 23:00:00,A,PC,TOTAL,Y35-44,M,VGOOD,BE,2014,34,
ESTAT:HLTH_SILC_02(1.0),16/05/22 23:00:00,A,PC,TOTAL,Y45-54,F,BAD,BE,2014,9,
ESTAT:HLTH_SILC_02(1.0),16/05/22 23:00:00,A,PC,TOTAL,Y45-54,F,FAIR,BE,2014,16,
ESTAT:HLTH_SILC_02(1.0),16/05/22 23:00:00,A,PC,TOTAL,Y45-54,F,GOOD,BE,2014,50,
ESTAT:HLTH_SILC_02(1.0),16/05/22 23:00:00,A,PC,TOTAL,Y45-54,F,VBAD,BE,2014,2,
ESTAT:HLTH_SILC_02(1.0),16/05/22 23:00:00,A,PC,TOTAL,Y45-54,F,VGOOD,BE,2014,23,
ESTAT:HLTH_SILC_02(1.0),16/05/22 23:00:00,A,PC,TOTAL,Y45-54,M,BAD,BE,2014,7,
ESTAT:HLTH_SILC_02(1.0),16/05/22 23:00:00,A,PC,TOTAL,Y45-54,M,FAIR,BE,2014,13,
ESTAT:HLTH_SILC_02(1.0),16/05/22 23:00:00,A,PC,TOTAL,Y45-54,M,GOOD,BE,2014,48,
ESTAT:HLTH_SILC_02(1.0),16/05/22 23:00:00,A,PC,TOTAL,Y45-54,M,VBAD,BE,2014,1,
ESTAT:HLTH_SILC_02(1.0),16/05/22 23:00:00,A,PC,TOTAL,Y45-54,M,VGOOD,BE,2014,31,
ESTAT:HLTH_SILC_02(1.0),16/05/22 23:00:00,A,PC,TOTAL,Y55-64,F,BAD,BE,2014,10,
ESTAT:HLTH_SILC_02(1.0),16/05/22 23:00:00,A,PC,TOTAL,Y55-64,F,FAIR,BE,2014,21,
ESTAT:HLTH_SILC_02(1.0),16/05/22 23:00:00,A,PC,TOTAL,Y55-64,F,GOOD,BE,2014,48,
ESTAT:HLTH_SILC_02(1.0),16/05/22 23:00:00,A,PC,TOTAL,Y55-64,F,VBAD,BE,2014,2,
ESTAT:HLTH_SILC_02(1.0),16/05/22 23:00:00,A,PC,TOTAL,Y55-64,F,VGOOD,BE,2014,19,
ESTAT:HLTH_SILC_02(1.0),16/05/22 23:00:00,A,PC,TOTAL,Y55-64,M,BAD,BE,2014,7,
ESTAT:HLTH_SILC_02(1.0),16/05/22 23:00:00,A,PC,TOTAL,Y55-64,M,FAIR,BE,2014,21,
ESTAT:HLTH_SILC_02(1.0),16/05/22 23:00:00,A,PC,TOTAL,Y55-64,M,GOOD,BE,2014,50,
ESTAT:HLTH_SILC_02(1.0),16/05/22 23:00:00,A,PC,TOTAL,Y55-64,M,VBAD,BE,2014,2,
ESTAT:HLTH_SILC_02(1.0),16/05/22 23:00:00,A,PC,TOTAL,Y55-64,M,VGOOD,BE,2014,20,
ESTAT:HLTH_SILC_02(1.0),16/05/22 23:00:00,A,PC,TOTAL,Y65-74,F,BAD,BE,2014,11,
ESTAT:HLTH_SILC_02(1.0),16/05/22 23:00:00,A,PC,TOTAL,Y65-74,F,FAIR,BE,2014,25,
ESTAT:HLTH_SILC_02(1.0),16/05/22 23:00:00,A,PC,TOTAL,Y65-74,F,GOOD,BE,2014,51,
ESTAT:HLTH_SILC_02(1.0),16/05/22 23:00:00,A,PC,TOTAL,Y65-74,F,VBAD,BE,2014,4,
ESTAT:HLTH_SILC_02(1.0),16/05/22 23:00:00,A,PC,TOTAL,Y65-74,F,VGOOD,BE,2014,9,
ESTAT:HLTH_SILC_02(1.0),16/05/22 23:00:00,A,PC,TOTAL,Y65-74,M,BAD,BE,2014,10,
ESTAT:HLTH_SILC_02(1.0),16/05/22 23:00:00,A,PC,TOTAL,Y65-74,M,FAIR,BE,2014,25,
ESTAT:HLTH_SILC_02(1.0),16/05/22 23:00:00,A,PC,TOTAL,Y65-74,M,GOOD,BE,2014,50,
ESTAT:HLTH_SILC_02(1.0),16/05/22 23:00:00,A,PC,TOTAL,Y65-74,M,VBAD,BE,2014,2,
ESTAT:HLTH_SILC_02(1.0),16/05/22 23:00:00,A,PC,TOTAL,Y65-74,M,VGOOD,BE,2014,13,
ESTAT:HLTH_SILC_02(1.0),16/05/22 23:00:00,A,PC,TOTAL,Y_GE65,F,BAD,BE,2014,16,
ESTAT:HLTH_SILC_02(1.0),16/05/22 23:00:00,A,PC,TOTAL,Y_GE65,F,FAIR,BE,2014,30,
ESTAT:HLTH_SILC_02(1.0),16/05/22 23:00:00,A,PC,TOTAL,Y_GE65,F,GOOD,BE,2014,43,
ESTAT:HLTH_SILC_02(1.0),16/05/22 23:00:00,A,PC,TOTAL,Y_GE65,F,VBAD,BE,2014,4,
ESTAT:HLTH_SILC_02(1.0),16/05/22 23:00:00,A,PC,TOTAL,Y_GE65,F,VGOOD,BE,2014,7,
ESTAT:HLTH_SILC_02(1.0),16/05/22 23:00:00,A,PC,TOTAL,Y_GE65,M,BAD,BE,2014,13,
ESTAT:HLTH_SILC_02(1.0),16/05/22 23:00:00,A,PC,TOTAL,Y_GE65,M,FAIR,BE,2014,31,
ESTAT:HLTH_SILC_02(1.0),16/05/22 23:00:00,A,PC,TOTAL,Y_GE65,M,GOOD,BE,2014,43,
ESTAT:HLTH_SILC_02(1.0),16/05/22 23:00:00,A,PC,TOTAL,Y_GE65,M,VBAD,BE,2014,3,
ESTAT:HLTH_SILC_02(1.0),16/05/22 23:00:00,A,PC,TOTAL,Y_GE65,M,VGOOD,BE,2014,10,
