DATAFLOW,LAST UPDATE,freq,unit,lev_satis,isced11,indic_wb,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,HIGH,TOTAL,ACCSAT,F,Y_GE16,BE,2013,31.6,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,HIGH,TOTAL,ACCSAT,M,Y_GE16,BE,2013,31.2,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,HIGH,TOTAL,ACCSAT,T,Y_GE16,BE,2013,31.4,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,HIGH,TOTAL,COMSAT,F,Y_GE16,BE,2013,41.8,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,HIGH,TOTAL,COMSAT,M,Y_GE16,BE,2013,36.2,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,HIGH,TOTAL,COMSAT,T,Y_GE16,BE,2013,38.9,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,HIGH,TOTAL,FINSAT,F,Y_GE16,BE,2013,15.4,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,HIGH,TOTAL,FINSAT,M,Y_GE16,BE,2013,16.7,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,HIGH,TOTAL,FINSAT,T,Y_GE16,BE,2013,16.0,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,HIGH,TOTAL,GREENSAT,F,Y_GE16,BE,2013,23.2,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,HIGH,TOTAL,GREENSAT,M,Y_GE16,BE,2013,22.7,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,HIGH,TOTAL,GREENSAT,T,Y_GE16,BE,2013,23.0,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,HIGH,TOTAL,JOBSAT,F,Y_GE16,BE,2013,22.9,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,HIGH,TOTAL,JOBSAT,M,Y_GE16,BE,2013,23.1,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,HIGH,TOTAL,JOBSAT,T,Y_GE16,BE,2013,23.0,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,HIGH,TOTAL,LIFESAT,F,Y_GE16,BE,2013,20.5,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,HIGH,TOTAL,LIFESAT,M,Y_GE16,BE,2013,21.3,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,HIGH,TOTAL,LIFESAT,T,Y_GE16,BE,2013,20.9,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,HIGH,TOTAL,LIVENVSAT,F,Y_GE16,BE,2013,22.9,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,HIGH,TOTAL,LIVENVSAT,M,Y_GE16,BE,2013,21.5,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,HIGH,TOTAL,LIVENVSAT,T,Y_GE16,BE,2013,22.2,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,HIGH,TOTAL,MEANLIFE,F,Y_GE16,BE,2013,30.8,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,HIGH,TOTAL,MEANLIFE,M,Y_GE16,BE,2013,30.5,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,HIGH,TOTAL,MEANLIFE,T,Y_GE16,BE,2013,30.6,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,HIGH,TOTAL,RELSAT,F,Y_GE16,BE,2013,28.8,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,HIGH,TOTAL,RELSAT,M,Y_GE16,BE,2013,28.5,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,HIGH,TOTAL,RELSAT,T,Y_GE16,BE,2013,28.6,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,HIGH,TOTAL,TIMESAT,F,Y_GE16,BE,2013,19.7,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,HIGH,TOTAL,TIMESAT,M,Y_GE16,BE,2013,23.4,
ESTAT:ILC_PW05(1.0),31/03/22 23:00:00,A,PC,HIGH,TOTAL,TIMESAT,T,Y_GE16,BE,2013,21.5,
